Feature,Importance
followers_count,0.041693705386112986
have_date,0.022339390006489344
repost,0.017391304347826132
have_htag,0.014941596365996146
topic_society,0.014000648929266746
have_url,0.012459441920830672
anger_bp1,0.0045911745619728
repost_count,0.004055807916937104
emo_prob_bp1_0,0.003520441271901431
emo_prob_bp1_2,0.0026443867618430096
extraVri,0.002465931213497774
fear_kw,0.0023848150551590507
topic_finance,0.00231992212848805
emo_prob_kw_0,0.0022225827384815488
topic_sports,0.0018494484101233334
emo_prob_bp1_1,0.0017358857884490985
text_len,0.0015574302401038741
emo_prob_kw_4,0.0013303049967553827
emo_prob_kw_2,0.0012491888384166595
sadness_bayes,0.0011031797534069355
emo_prob_bayes_3,0.0011031797534069355
disgust_bp1,0.0010707332900714462
joy_bayes,0.0009896171317326675
emo_prob_bayes_2,0.0009896171317326675
topic_technology,0.0009085009733939553
repost_48h,0.0008760545100584439
emo_prob_bayes_0,0.0008273848150551988
anger_bayes,0.0008273848150551988
have_loc,0.0007949383517196984
fear_bayes,0.0007624918883842091
emo_prob_bayes_4,0.0007624918883842091
anger_kw,0.0007300454250487199
topic_international,0.0004542504866969943
topic_military,0.00038935756002601575
joy_bp1,0.00035691109669051536
emo_prob_bayes_1,8.111615833878982e-05
disgust_bayes,8.111615833878982e-05
emo_prob_kw_3,3.3306690738754695e-17
have_at,-1.6223231667689132e-05
fear_bp1,-4.8669695003211724e-05
sadness_kw,-0.0001135626216742014
emo_prob_bp1_4,-0.0001946787800129357
emo_prob_kw_1,-0.0002757949383516589
disgust_kw,-0.0003244646333549261
sadness_bp1,-0.00035691109669040434
friends_count,-0.00047047371836467233
emo_prob_bp1_3,-0.0006489292667098856
joy_kw,-0.0008436080467228657
